PING 10.0.0.15 (10.0.0.15) 56(84) bytes of data.
64 bytes from 10.0.0.15: icmp_seq=1 ttl=64 time=1.32 ms
64 bytes from 10.0.0.15: icmp_seq=2 ttl=64 time=0.095 ms
64 bytes from 10.0.0.15: icmp_seq=3 ttl=64 time=0.104 ms
64 bytes from 10.0.0.15: icmp_seq=4 ttl=64 time=0.134 ms
64 bytes from 10.0.0.15: icmp_seq=5 ttl=64 time=0.541 ms
64 bytes from 10.0.0.15: icmp_seq=6 ttl=64 time=0.434 ms
64 bytes from 10.0.0.15: icmp_seq=7 ttl=64 time=0.257 ms
64 bytes from 10.0.0.15: icmp_seq=8 ttl=64 time=0.136 ms
64 bytes from 10.0.0.15: icmp_seq=9 ttl=64 time=0.300 ms
64 bytes from 10.0.0.15: icmp_seq=10 ttl=64 time=0.545 ms
64 bytes from 10.0.0.15: icmp_seq=11 ttl=64 time=0.260 ms
64 bytes from 10.0.0.15: icmp_seq=12 ttl=64 time=0.347 ms
64 bytes from 10.0.0.15: icmp_seq=13 ttl=64 time=0.357 ms
64 bytes from 10.0.0.15: icmp_seq=14 ttl=64 time=0.495 ms
64 bytes from 10.0.0.15: icmp_seq=15 ttl=64 time=0.416 ms
64 bytes from 10.0.0.15: icmp_seq=16 ttl=64 time=0.569 ms
64 bytes from 10.0.0.15: icmp_seq=17 ttl=64 time=0.505 ms
64 bytes from 10.0.0.15: icmp_seq=18 ttl=64 time=0.374 ms
64 bytes from 10.0.0.15: icmp_seq=19 ttl=64 time=0.307 ms
64 bytes from 10.0.0.15: icmp_seq=20 ttl=64 time=0.118 ms
64 bytes from 10.0.0.15: icmp_seq=21 ttl=64 time=0.489 ms
64 bytes from 10.0.0.15: icmp_seq=22 ttl=64 time=0.253 ms
64 bytes from 10.0.0.15: icmp_seq=23 ttl=64 time=0.328 ms
64 bytes from 10.0.0.15: icmp_seq=24 ttl=64 time=0.073 ms
64 bytes from 10.0.0.15: icmp_seq=25 ttl=64 time=0.262 ms
64 bytes from 10.0.0.15: icmp_seq=26 ttl=64 time=0.576 ms
64 bytes from 10.0.0.15: icmp_seq=27 ttl=64 time=0.237 ms
64 bytes from 10.0.0.15: icmp_seq=28 ttl=64 time=0.268 ms
64 bytes from 10.0.0.15: icmp_seq=29 ttl=64 time=0.476 ms
64 bytes from 10.0.0.15: icmp_seq=30 ttl=64 time=0.544 ms
64 bytes from 10.0.0.15: icmp_seq=31 ttl=64 time=0.380 ms
64 bytes from 10.0.0.15: icmp_seq=32 ttl=64 time=0.301 ms
64 bytes from 10.0.0.15: icmp_seq=33 ttl=64 time=0.438 ms
64 bytes from 10.0.0.15: icmp_seq=34 ttl=64 time=0.331 ms
64 bytes from 10.0.0.15: icmp_seq=35 ttl=64 time=0.507 ms
64 bytes from 10.0.0.15: icmp_seq=36 ttl=64 time=0.472 ms
64 bytes from 10.0.0.15: icmp_seq=37 ttl=64 time=0.297 ms
64 bytes from 10.0.0.15: icmp_seq=38 ttl=64 time=0.124 ms
64 bytes from 10.0.0.15: icmp_seq=39 ttl=64 time=0.182 ms
64 bytes from 10.0.0.15: icmp_seq=40 ttl=64 time=0.167 ms
64 bytes from 10.0.0.15: icmp_seq=41 ttl=64 time=0.482 ms
64 bytes from 10.0.0.15: icmp_seq=42 ttl=64 time=0.370 ms
64 bytes from 10.0.0.15: icmp_seq=43 ttl=64 time=0.299 ms
64 bytes from 10.0.0.15: icmp_seq=44 ttl=64 time=0.382 ms
64 bytes from 10.0.0.15: icmp_seq=45 ttl=64 time=0.361 ms
64 bytes from 10.0.0.15: icmp_seq=46 ttl=64 time=0.682 ms
64 bytes from 10.0.0.15: icmp_seq=47 ttl=64 time=0.448 ms
64 bytes from 10.0.0.15: icmp_seq=48 ttl=64 time=0.879 ms
64 bytes from 10.0.0.15: icmp_seq=49 ttl=64 time=0.279 ms
64 bytes from 10.0.0.15: icmp_seq=50 ttl=64 time=0.472 ms

--- 10.0.0.15 ping statistics ---
50 packets transmitted, 50 received, 0% packet loss, time 50415ms
rtt min/avg/max/mdev = 0.073/0.379/1.316/0.210 ms
