PING 10.0.0.7 (10.0.0.7) 56(84) bytes of data.
64 bytes from 10.0.0.7: icmp_seq=1 ttl=64 time=0.668 ms
64 bytes from 10.0.0.7: icmp_seq=2 ttl=64 time=0.204 ms
64 bytes from 10.0.0.7: icmp_seq=3 ttl=64 time=0.163 ms
64 bytes from 10.0.0.7: icmp_seq=4 ttl=64 time=0.053 ms
64 bytes from 10.0.0.7: icmp_seq=5 ttl=64 time=0.151 ms
64 bytes from 10.0.0.7: icmp_seq=6 ttl=64 time=0.071 ms
64 bytes from 10.0.0.7: icmp_seq=7 ttl=64 time=0.151 ms
64 bytes from 10.0.0.7: icmp_seq=8 ttl=64 time=0.324 ms
64 bytes from 10.0.0.7: icmp_seq=9 ttl=64 time=0.221 ms
64 bytes from 10.0.0.7: icmp_seq=10 ttl=64 time=0.086 ms
64 bytes from 10.0.0.7: icmp_seq=11 ttl=64 time=0.220 ms
64 bytes from 10.0.0.7: icmp_seq=12 ttl=64 time=0.103 ms
64 bytes from 10.0.0.7: icmp_seq=13 ttl=64 time=0.161 ms
64 bytes from 10.0.0.7: icmp_seq=14 ttl=64 time=0.356 ms
64 bytes from 10.0.0.7: icmp_seq=15 ttl=64 time=0.103 ms
64 bytes from 10.0.0.7: icmp_seq=16 ttl=64 time=0.064 ms
64 bytes from 10.0.0.7: icmp_seq=17 ttl=64 time=0.207 ms
64 bytes from 10.0.0.7: icmp_seq=18 ttl=64 time=0.061 ms
64 bytes from 10.0.0.7: icmp_seq=19 ttl=64 time=0.172 ms
64 bytes from 10.0.0.7: icmp_seq=20 ttl=64 time=0.126 ms
64 bytes from 10.0.0.7: icmp_seq=21 ttl=64 time=0.084 ms
64 bytes from 10.0.0.7: icmp_seq=22 ttl=64 time=0.241 ms
64 bytes from 10.0.0.7: icmp_seq=23 ttl=64 time=0.059 ms
64 bytes from 10.0.0.7: icmp_seq=24 ttl=64 time=0.079 ms
64 bytes from 10.0.0.7: icmp_seq=25 ttl=64 time=0.083 ms
64 bytes from 10.0.0.7: icmp_seq=26 ttl=64 time=0.165 ms
64 bytes from 10.0.0.7: icmp_seq=27 ttl=64 time=0.149 ms
64 bytes from 10.0.0.7: icmp_seq=28 ttl=64 time=0.134 ms
64 bytes from 10.0.0.7: icmp_seq=29 ttl=64 time=0.107 ms
64 bytes from 10.0.0.7: icmp_seq=30 ttl=64 time=0.061 ms
64 bytes from 10.0.0.7: icmp_seq=31 ttl=64 time=0.096 ms
64 bytes from 10.0.0.7: icmp_seq=32 ttl=64 time=0.288 ms
64 bytes from 10.0.0.7: icmp_seq=33 ttl=64 time=0.285 ms
64 bytes from 10.0.0.7: icmp_seq=34 ttl=64 time=0.152 ms
64 bytes from 10.0.0.7: icmp_seq=35 ttl=64 time=0.155 ms
64 bytes from 10.0.0.7: icmp_seq=36 ttl=64 time=0.152 ms
64 bytes from 10.0.0.7: icmp_seq=37 ttl=64 time=0.141 ms
64 bytes from 10.0.0.7: icmp_seq=38 ttl=64 time=0.141 ms
64 bytes from 10.0.0.7: icmp_seq=39 ttl=64 time=0.301 ms
64 bytes from 10.0.0.7: icmp_seq=40 ttl=64 time=0.143 ms
64 bytes from 10.0.0.7: icmp_seq=41 ttl=64 time=0.152 ms
64 bytes from 10.0.0.7: icmp_seq=42 ttl=64 time=0.301 ms
64 bytes from 10.0.0.7: icmp_seq=43 ttl=64 time=0.152 ms
64 bytes from 10.0.0.7: icmp_seq=44 ttl=64 time=0.148 ms
64 bytes from 10.0.0.7: icmp_seq=45 ttl=64 time=0.249 ms
64 bytes from 10.0.0.7: icmp_seq=46 ttl=64 time=0.158 ms
64 bytes from 10.0.0.7: icmp_seq=47 ttl=64 time=0.084 ms
64 bytes from 10.0.0.7: icmp_seq=48 ttl=64 time=0.142 ms
64 bytes from 10.0.0.7: icmp_seq=49 ttl=64 time=0.099 ms
64 bytes from 10.0.0.7: icmp_seq=50 ttl=64 time=0.202 ms

--- 10.0.0.7 ping statistics ---
50 packets transmitted, 50 received, 0% packet loss, time 50184ms
rtt min/avg/max/mdev = 0.053/0.167/0.668/0.102 ms
